Project Year,Usable Capacity
0,1
1,0.992319444
2,0.965275
3,0.948469444
4,0.934444444
5,0.924986111
6,0.910961111
7,0.890705556
8,0.875013889
9,0.859208333
10,0.843294444
11,0.827711111
12,0.811908333
13,0.796213889
14,0.780522222
15,0.764719444
16,0.749136111
17,0.733555556
18,0.728547222
19,0.702169444
