Time (UTC),Wholesale market price,Raise regulation,Lower regulation,Contingency raise - 6 seconds,Contingency lower - 6 seconds,Contingency raise - 60 seconds,Contingency lower - 60 seconds,Contingency raise - 5 minutes,Contingency lower - 5 minutes
UTC,AUD/MWh,AUD/MW/h,AUD/MW/h,AUD/MW/h,AUD/MW/h,AUD/MW/h,AUD/MW/h,AUD/MW/h,AUD/MW/h
